Date,Daily Flow,Daily Avg Buy,Daily Avg Sell,Spread,Spread Profit,Expenses/Fees,Net Profit
2026-03-18,46640.0,52.24,52.83,0.59,1246.94,50.64,1196.30
2026-03-19,50220.0,51.84,52.80,0.96,367.73,56.00,311.73
2026-03-20,0,51.70,53.40,1.70,823.60,0.00,823.60
2026-03-21,7000.0,52.34,54.11,1.77,1953.37,9.00,1944.37
2026-03-22,10680.0,52.34,0.00,0.00,0.00,22.00,-22.00
2026-03-23,39950.0,53.45,54.61,1.16,554.77,52.00,502.77
2026-03-24,57090.0,52.55,53.63,1.07,1131.09,84.00,1047.09
2026-03-25,21550.0,52.70,53.63,0.94,646.14,24.00,622.14
2026-03-26,35500.0,52.70,53.80,1.10,259.82,38.00,221.82
2026-03-27,70500.0,53.20,54.00,0.80,1353.40,87.00,1266.40
2026-03-28,65275.0,53.02,53.70,0.68,580.82,86.00,494.82
2026-03-29,76180.0,53.02,0.00,0.00,0.00,114.00,-114.00
2026-03-30,65970.0,54.95,55.72,0.77,1321.02,115.00,1206.02
2026-03-31,70155.0,55.45,56.39,0.94,412.44,86.00,326.44
2026-04-01,75350.0,55.45,57.20,1.75,642.33,90.00,552.33
2026-04-02,30720.0,54.64,55.61,0.97,1484.57,97.00,1387.57
2026-04-03,42450.0,55.25,56.01,0.76,775.39,60.00,715.39
2026-04-04,41065.0,55.00,0.00,0.00,0.00,37.00,-37.00
2026-04-05,74740.0,55.00,0.00,0.00,0.00,82.00,-82.00
2026-04-06,6500.0,55.27,56.06,0.79,281.05,6.00,275.05
2026-04-07,44000.0,55.27,55.75,0.48,328.41,19.00,309.41
2026-04-08,33770.0,54.30,54.44,0.14,148.51,39.00,109.51
2026-04-09,60000.0,54.30,0.00,0.00,0.00,45.00,-45.00
2026-04-10,22500.0,53.84,54.69,0.85,1151.17,10.00,1141.17
2026-04-11,51800.0,53.30,54.11,0.81,128.02,6038.00,-5909.98
2026-04-12,54900.0,53.34,54.20,0.85,203.02,40.00,163.02
2026-04-13,66930.0,53.84,54.57,0.73,514.73,1171.00,-656.27
2026-04-14,87600.0,52.75,53.66,0.91,644.23,79.75,564.48
2026-04-15,37325.0,52.55,53.15,0.60,336.14,39.00,297.14
2026-04-16,71510.0,52.55,0.00,0.00,0.00,62.00,-62.00
2026-04-17,26995.0,51.80,52.71,0.91,507.79,42.00,465.79
2026-04-18,69810.0,51.80,0.00,0.00,0.00,62.50,-62.50
2026-04-19,41190.0,51.80,0.00,0.00,0.00,53.50,-53.50
2026-04-20,3000.0,51.80,0.00,0.00,0.00,1.00,-1.00
